date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:59:26	2382/2382	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Oct%202020%2020:59:26%20GMT	https://onkruid.studio/robots.txt		(from )
16:59:27	11674/11674	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Oct%202020%2020:59:26%20GMT	https://onkruid.studio/	E:/test-onkruid/onkruid.studio/index.html	(from )
16:59:27	681/681	---M--	200	added ('OK')	image/png	etag:%222a9-57bf4f188328b%22	https://onkruid.studio/assets/dist/img/apple-icon-57x57.png	E:/test-onkruid/onkruid.studio/assets/dist/img/apple-icon-57x57.png	(from https://onkruid.studio/)
16:59:28	813/813	---M--	200	added ('OK')	image/png	etag:%2232d-57bf4f188fdad%22	https://onkruid.studio/assets/dist/img/apple-icon-60x60.png	E:/test-onkruid/onkruid.studio/assets/dist/img/apple-icon-60x60.png	(from https://onkruid.studio/)
16:59:28	856/856	---M--	200	added ('OK')	image/png	etag:%22358-57bf4f189a98e%22	https://onkruid.studio/assets/dist/img/apple-icon-72x72.png	E:/test-onkruid/onkruid.studio/assets/dist/img/apple-icon-72x72.png	(from https://onkruid.studio/)
16:59:28	860/860	---M--	200	added ('OK')	image/png	etag:%2235c-57bf4f18a8450%22	https://onkruid.studio/assets/dist/img/apple-icon-76x76.png	E:/test-onkruid/onkruid.studio/assets/dist/img/apple-icon-76x76.png	(from https://onkruid.studio/)
16:59:28	1394/1394	---M--	200	added ('OK')	image/png	etag:%22572-57bf4f18b4f72%22	https://onkruid.studio/assets/dist/img/apple-icon-114x114.png	E:/test-onkruid/onkruid.studio/assets/dist/img/apple-icon-114x114.png	(from https://onkruid.studio/)
16:59:29	1522/1522	---M--	200	added ('OK')	image/png	etag:%225f2-57bf4f18c0af4%22	https://onkruid.studio/assets/dist/img/apple-icon-120x120.png	E:/test-onkruid/onkruid.studio/assets/dist/img/apple-icon-120x120.png	(from https://onkruid.studio/)
16:59:29	1983/1983	---M--	200	added ('OK')	image/png	etag:%227bf-57bf4f18cb6d5%22	https://onkruid.studio/assets/dist/img/apple-icon-144x144.png	E:/test-onkruid/onkruid.studio/assets/dist/img/apple-icon-144x144.png	(from https://onkruid.studio/)
16:59:29	2167/2167	---M--	200	added ('OK')	image/png	etag:%22877-57bf4f18da137%22	https://onkruid.studio/assets/dist/img/apple-icon-152x152.png	E:/test-onkruid/onkruid.studio/assets/dist/img/apple-icon-152x152.png	(from https://onkruid.studio/)
16:59:29	2604/2604	---M--	200	added ('OK')	image/png	etag:%22a2c-57bf4f18e6c59%22	https://onkruid.studio/assets/dist/img/apple-icon-180x180.png	E:/test-onkruid/onkruid.studio/assets/dist/img/apple-icon-180x180.png	(from https://onkruid.studio/)
16:59:30	2778/2778	---M--	200	added ('OK')	image/png	etag:%22ada-57bf4f1874829%22	https://onkruid.studio/assets/dist/img/android-icon-192x192.png	E:/test-onkruid/onkruid.studio/assets/dist/img/android-icon-192x192.png	(from https://onkruid.studio/)
16:59:30	635/635	---M--	200	added ('OK')	image/png	etag:%2227b-57bf4f1967aeb%22	https://onkruid.studio/assets/dist/img/favicon-32x32.png	E:/test-onkruid/onkruid.studio/assets/dist/img/favicon-32x32.png	(from https://onkruid.studio/)
16:59:30	1157/1157	---M--	200	added ('OK')	image/png	etag:%22485-57bf4f198ad6f%22	https://onkruid.studio/assets/dist/img/favicon-96x96.png	E:/test-onkruid/onkruid.studio/assets/dist/img/favicon-96x96.png	(from https://onkruid.studio/)
16:59:30	220/220	---M--	200	added ('OK')	image/png	etag:%22dc-57bf4f1959089%22	https://onkruid.studio/assets/dist/img/favicon-16x16.png	E:/test-onkruid/onkruid.studio/assets/dist/img/favicon-16x16.png	(from https://onkruid.studio/)
16:59:30	720/720	---MCZ	200	added ('OK')	application/json	etag:W/%222d0-57bf4f19adff4%22	https://onkruid.studio/assets/dist/img/manifest.json	E:/test-onkruid/onkruid.studio/assets/dist/img/manifest.json	(from https://onkruid.studio/)
16:59:31	1983/1983	---M--	200	added ('OK')	image/png	etag:%227bf-57bf4f19f549e%22	https://onkruid.studio/assets/dist/img/ms-icon-144x144.png	E:/test-onkruid/onkruid.studio/assets/dist/img/ms-icon-144x144.png	(from https://onkruid.studio/)
16:59:31	848/848	---MCZ	200	added ('OK')	text/css	etag:W/%22350-57bf4f1701676%22	https://onkruid.studio/assets/dist/css/pace.1543666836.css	E:/test-onkruid/onkruid.studio/assets/dist/css/pace.1543666836.css	(from https://onkruid.studio/)
16:59:32	735/735	---MCZ	200	added ('OK')	text/css	date:Mon,%2012%20Oct%202020%2020:59:31%20GMT	https://onkruid.studio/assets/plugins/embed/css/embed.css	E:/test-onkruid/onkruid.studio/assets/plugins/embed/css/embed.css	(from https://onkruid.studio/)
16:59:32	43902/43902	---MCZ	200	added ('OK')	text/css	etag:W/%22ab7e-57bf4f16d8631%22	https://onkruid.studio/assets/dist/css/main.min.1543666836.css	E:/test-onkruid/onkruid.studio/assets/dist/css/main.min.1543666836.css	(from https://onkruid.studio/)
16:59:34	289694/289694	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Oct%202020%2020:59:34%20GMT	https://onkruid.studio/projects	E:/test-onkruid/onkruid.studio/projects.html	(from https://onkruid.studio/)
16:59:34	10325/10325	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Oct%202020%2020:59:34%20GMT	https://onkruid.studio/contact	E:/test-onkruid/onkruid.studio/contact.html	(from https://onkruid.studio/)
16:59:34	11425/11425	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Oct%202020%2020:59:34%20GMT	https://onkruid.studio/jobs	E:/test-onkruid/onkruid.studio/jobs.html	(from https://onkruid.studio/)
16:59:36	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-15283%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.2.1/jquery.min.js	E:/test-onkruid/cdnjs.cloudflare.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from https://onkruid.studio/)
16:59:37	6658/6658	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ed0-1a02%22	https://cdnjs.cloudflare.com/ajax/libs/lazysizes/4.0.1/lazysizes.min.js	E:/test-onkruid/cdnjs.cloudflare.com/ajax/libs/lazysizes/4.0.1/lazysizes.min.js	(from https://onkruid.studio/)
16:59:38	119465/119465	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e5e-1d2a9%22	https://cdnjs.cloudflare.com/ajax/libs/flickity/2.0.10/flickity.pkgd.js	E:/test-onkruid/cdnjs.cloudflare.com/ajax/libs/flickity/2.0.10/flickity.pkgd.js	(from https://onkruid.studio/)
16:59:39	13135/13135	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03d72-334f%22	https://cdnjs.cloudflare.com/ajax/libs/barba.js/1.0.0/barba.min.js	E:/test-onkruid/cdnjs.cloudflare.com/ajax/libs/barba.js/1.0.0/barba.min.js	(from https://onkruid.studio/)
16:59:40	18101/18101	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ed2-46b5%22	https://cdnjs.cloudflare.com/ajax/libs/list.js/1.5.0/list.min.js	E:/test-onkruid/cdnjs.cloudflare.com/ajax/libs/list.js/1.5.0/list.min.js	(from https://onkruid.studio/)
16:59:41	12507/12507	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03f40-30db%22	https://cdnjs.cloudflare.com/ajax/libs/pace/1.0.2/pace.min.js	E:/test-onkruid/cdnjs.cloudflare.com/ajax/libs/pace/1.0.2/pace.min.js	(from https://onkruid.studio/)
16:59:42	314/314	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2012%20Oct%202020%2020:59:41%20GMT	https://onkruid.studio/assets/plugins/embed/js/embed.js	E:/test-onkruid/onkruid.studio/assets/plugins/embed/js/embed.js	(from https://onkruid.studio/)
16:59:42	4544/4544	---MCZ	200	added ('OK')	application/javascript	etag:W/%2211c0-57bf4f1a7c0f1%22	https://onkruid.studio/assets/dist/js/main.min.1543666840.js	E:/test-onkruid/onkruid.studio/assets/dist/js/main.min.1543666840.js	(from https://onkruid.studio/)
16:59:43	70036/70036	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2211194-57bf4f172e53c%22	https://onkruid.studio/assets/dist/fonts/NHaasGroteskTXStd-55Rg.eot?	E:/test-onkruid/onkruid.studio/assets/dist/fonts/NHaasGroteskTXStd-55Rgd41d.eot	(from https://onkruid.studio/assets/dist/css/main.min.1543666836.css)
16:59:43	83616/83616	---M--	200	added ('OK')	font/otf	etag:%22146a0-57bf4f1742d5f%22	https://onkruid.studio/assets/dist/fonts/NHaasGroteskTXStd-55Rg.otf	E:/test-onkruid/onkruid.studio/assets/dist/fonts/NHaasGroteskTXStd-55Rg.otf	(from https://onkruid.studio/assets/dist/css/main.min.1543666836.css)
16:59:43	28288/28288	---M--	200	added ('OK')	font/woff	etag:%226e80-57bf4f1794deb%22	https://onkruid.studio/assets/dist/fonts/NHaasGroteskTXStd-55Rg.woff	E:/test-onkruid/onkruid.studio/assets/dist/fonts/NHaasGroteskTXStd-55Rg.woff	(from https://onkruid.studio/assets/dist/css/main.min.1543666836.css)
16:59:44	69808/69808	---M--	200	added ('OK')	font/ttf	etag:%22110b0-57bf4f1786388%22	https://onkruid.studio/assets/dist/fonts/NHaasGroteskTXStd-55Rg.ttf	E:/test-onkruid/onkruid.studio/assets/dist/fonts/NHaasGroteskTXStd-55Rg.ttf	(from https://onkruid.studio/assets/dist/css/main.min.1543666836.css)
16:59:44	215404/215404	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%223496c-57bf4f1769e65%22	https://onkruid.studio/assets/dist/fonts/NHaasGroteskTXStd-55Rg.svg	E:/test-onkruid/onkruid.studio/assets/dist/fonts/NHaasGroteskTXStd-55Rg.svg	(from https://onkruid.studio/assets/dist/css/main.min.1543666836.css)
16:59:44	267/267	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2210b-57bf4f1913b1f%22	https://onkruid.studio/assets/dist/img/arrow--left--white.svg	E:/test-onkruid/onkruid.studio/assets/dist/img/arrow--left--white.svg	(from https://onkruid.studio/assets/dist/css/main.min.1543666836.css)
16:59:44	256/256	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22100-57bf4f192f0a3%22	https://onkruid.studio/assets/dist/img/arrow--right--white.svg	E:/test-onkruid/onkruid.studio/assets/dist/img/arrow--right--white.svg	(from https://onkruid.studio/assets/dist/css/main.min.1543666836.css)
16:59:44	27184/27184	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Oct%202020%2020:59:44%20GMT	https://onkruid.studio/projects/horst18	E:/test-onkruid/onkruid.studio/projects/horst18.html	(from https://onkruid.studio/projects)
16:59:45	450547/450547	---M--	200	added ('OK')	image/jpeg	etag:%226dff3-57bf501bb8da4%22	https://onkruid.studio/thumbs/projects/horst18/00sel_horst_maxim_vrijdag_drop-02h-19-1-2160x1440.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/horst18/00sel_horst_maxim_vrijdag_drop-02h-19-1-2160x1440.jpg	(from https://onkruid.studio/projects)
16:59:45	203104/203104	---M--	200	added ('OK')	image/jpeg	etag:%2231960-57bf501b8af3e%22	https://onkruid.studio/thumbs/projects/horst18/00sel_horst_maxim_vrijdag_drop-02h-19-1-1440x960.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/horst18/00sel_horst_maxim_vrijdag_drop-02h-19-1-1440x960.jpg	(from https://onkruid.studio/projects)
16:59:46	519440/519440	---M--	200	added ('OK')	image/jpeg	etag:%227ed10-57bf502bcc39a%22	https://onkruid.studio/thumbs/projects/horst18/kopie-van-horst18_jeroenverrecht_0735-1440x960.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/horst18/kopie-van-horst18_jeroenverrecht_0735-1440x960.jpg	(from https://onkruid.studio/projects)
16:59:46	1053600/1053600	---M--	200	added ('OK')	image/jpeg	etag:%221013a0-57bf502c25186%22	https://onkruid.studio/thumbs/projects/horst18/kopie-van-horst18_jeroenverrecht_0735-2160x1440.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/horst18/kopie-van-horst18_jeroenverrecht_0735-2160x1440.jpg	(from https://onkruid.studio/projects)
16:59:47	363107/363107	---M--	200	added ('OK')	image/jpeg	etag:%2258a63-57bf501ecb030%22	https://onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_vrijdag_drop-02h-3-1440x960.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_vrijdag_drop-02h-3-1440x960.jpg	(from https://onkruid.studio/projects)
16:59:47	849225/849225	---M--	200	added ('OK')	image/jpeg	etag:%22cf549-57bf501f1829b%22	https://onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_vrijdag_drop-02h-3-2160x1440.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_vrijdag_drop-02h-3-2160x1440.jpg	(from https://onkruid.studio/projects)
16:59:48	425198/425198	---M--	200	added ('OK')	image/jpeg	etag:%2267cee-57bf501d8e985%22	https://onkruid.studio/thumbs/projects/horst18/41728223_2007171766045691_8447299449654345728_o-1440x960.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/horst18/41728223_2007171766045691_8447299449654345728_o-1440x960.jpg	(from https://onkruid.studio/projects)
16:59:48	721953/721953	---M--	200	added ('OK')	image/jpeg	etag:%22b0421-57bf501dd4e8f%22	https://onkruid.studio/thumbs/projects/horst18/41728223_2007171766045691_8447299449654345728_o-2160x1440.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/horst18/41728223_2007171766045691_8447299449654345728_o-2160x1440.jpg	(from https://onkruid.studio/projects)
16:59:48	366636/366636	---M--	200	added ('OK')	image/jpeg	etag:%225982c-57bf5029edb18%22	https://onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_zondag-140-1440x960.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_zondag-140-1440x960.jpg	(from https://onkruid.studio/projects)
16:59:49	657861/657861	---M--	200	added ('OK')	image/jpeg	etag:%22a09c5-57bf502a2b381%22	https://onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_zondag-140-2160x1440.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_zondag-140-2160x1440.jpg	(from https://onkruid.studio/projects)
16:59:49	821313/821313	---M--	200	added ('OK')	image/jpeg	etag:%22c8841-57bf50294b942%22	https://onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_zondag-50-2160x1440.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_zondag-50-2160x1440.jpg	(from https://onkruid.studio/projects)
16:59:49	470257/470257	---M--	200	added ('OK')	image/jpeg	etag:%2272cf1-57bf502902558%22	https://onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_zondag-50-1440x960.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_zondag-50-1440x960.jpg	(from https://onkruid.studio/projects)
16:59:49	453590/453590	---M--	200	added ('OK')	image/jpeg	etag:%226ebd6-57bf502ace4f7%22	https://onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_zondag-157-1440x960.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_zondag-157-1440x960.jpg	(from https://onkruid.studio/projects)
16:59:50	818495/818495	---M--	200	added ('OK')	image/jpeg	etag:%22c7d3f-57bf502b178e1%22	https://onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_zondag-157-2160x1440.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_zondag-157-2160x1440.jpg	(from https://onkruid.studio/projects)
16:59:50	882198/882198	---M--	200	added ('OK')	image/jpeg	etag:%22d7616-57bf502845d9e%22	https://onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_zaterdag-234-1-2160x1440.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_zaterdag-234-1-2160x1440.jpg	(from https://onkruid.studio/projects)
16:59:50	335917/335917	---M--	200	added ('OK')	image/jpeg	etag:%225202d-57bf502d87997%22	https://onkruid.studio/thumbs/projects/horst18/kopie-van-horst18_jeroenverrecht_9208-2160x1440.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/horst18/kopie-van-horst18_jeroenverrecht_9208-2160x1440.jpg	(from https://onkruid.studio/projects)
16:59:50	335570/335570	---M--	200	added ('OK')	image/jpeg	etag:%2251ed2-57bf5027f9ad3%22	https://onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_zaterdag-234-1-1440x960.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_zaterdag-234-1-1440x960.jpg	(from https://onkruid.studio/projects)
16:59:51	169208/169208	---M--	200	added ('OK')	image/jpeg	etag:%22294f8-57bf502d60891%22	https://onkruid.studio/thumbs/projects/horst18/kopie-van-horst18_jeroenverrecht_9208-1440x960.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/horst18/kopie-van-horst18_jeroenverrecht_9208-1440x960.jpg	(from https://onkruid.studio/projects)
16:59:51	727396/727396	---M--	200	added ('OK')	image/jpeg	etag:%22b1964-57bf50200b55c%22	https://onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_zaterdag-54-1-2160x1440.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_zaterdag-54-1-2160x1440.jpg	(from https://onkruid.studio/projects)
16:59:51	348771/348771	---M--	200	added ('OK')	image/jpeg	etag:%2255263-57bf501fc5053%22	https://onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_zaterdag-54-1-1440x960.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_zaterdag-54-1-1440x960.jpg	(from https://onkruid.studio/projects)
16:59:51	299687/299687	---M--	200	added ('OK')	image/jpeg	etag:%22492a7-57bf502cf9fe3%22	https://onkruid.studio/thumbs/projects/horst18/kopie-van-horst18_jeroenverrecht_9206-2-2160x1440.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/horst18/kopie-van-horst18_jeroenverrecht_9206-2-2160x1440.jpg	(from https://onkruid.studio/projects)
16:59:51	151807/151807	---M--	200	added ('OK')	image/jpeg	etag:%22250ff-57bf502cd6d5e%22	https://onkruid.studio/thumbs/projects/horst18/kopie-van-horst18_jeroenverrecht_9206-2-1440x960.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/horst18/kopie-van-horst18_jeroenverrecht_9206-2-1440x960.jpg	(from https://onkruid.studio/projects)
16:59:52	773317/773317	---M--	200	added ('OK')	image/jpeg	etag:%22bccc5-57bf5020eee1c%22	https://onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_zaterdag-211-2160x1440.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_zaterdag-211-2160x1440.jpg	(from https://onkruid.studio/projects)
16:59:52	347401/347401	---M--	200	added ('OK')	image/jpeg	etag:%2254d09-57bf5020a69d2%22	https://onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_zaterdag-211-1440x960.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_zaterdag-211-1440x960.jpg	(from https://onkruid.studio/projects)
16:59:52	713232/713232	---M--	200	added ('OK')	image/jpeg	etag:%22ae210-57bf5021c2cd9%22	https://onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_zaterdag-216-1-2160x1440.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_zaterdag-216-1-2160x1440.jpg	(from https://onkruid.studio/projects)
16:59:52	274914/274914	---M--	200	added ('OK')	image/jpeg	etag:%22431e2-57bf502183530%22	https://onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_zaterdag-216-1-1440x960.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_zaterdag-216-1-1440x960.jpg	(from https://onkruid.studio/projects)
16:59:53	853333/853333	---M--	200	added ('OK')	image/jpeg	etag:%22d0555-57bf5022b7edb%22	https://onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_zaterdag-222-2160x1440.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_zaterdag-222-2160x1440.jpg	(from https://onkruid.studio/projects)
16:59:53	364072/364072	---M--	200	added ('OK')	image/jpeg	etag:%2258e28-57bf50226ac70%22	https://onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_zaterdag-222-1440x960.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/horst18/kopie-van-horst_maxim_zaterdag-222-1440x960.jpg	(from https://onkruid.studio/projects)
16:59:53	1094761/1094761	---M--	200	added ('OK')	image/jpeg	etag:%2210b469-57bf501cb3d67%22	https://onkruid.studio/thumbs/projects/horst18/00select_horst18_jeroenverrecht_0730-2160x1440.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/horst18/00select_horst18_jeroenverrecht_0730-2160x1440.jpg	(from https://onkruid.studio/projects)
16:59:53	531928/531928	---M--	200	added ('OK')	image/jpeg	etag:%2281dd8-57bf501c59fdb%22	https://onkruid.studio/thumbs/projects/horst18/00select_horst18_jeroenverrecht_0730-1440x960.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/horst18/00select_horst18_jeroenverrecht_0730-1440x960.jpg	(from https://onkruid.studio/projects)
16:59:53	16625/16625	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Oct%202020%2020:59:53%20GMT	https://onkruid.studio/projects/club-kiosk	E:/test-onkruid/onkruid.studio/projects/club-kiosk.html	(from https://onkruid.studio/projects)
16:59:54	853712/853712	---M--	200	added ('OK')	image/jpeg	etag:%22d06d0-57bf4f5a57495%22	https://onkruid.studio/thumbs/projects/club-kiosk/clubkioskonkruid-5-2160x1440.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/club-kiosk/clubkioskonkruid-5-2160x1440.jpg	(from https://onkruid.studio/projects)
16:59:54	411938/411938	---M--	200	added ('OK')	image/jpeg	etag:%2264922-57bf4f59e6fa6%22	https://onkruid.studio/thumbs/projects/club-kiosk/clubkioskonkruid-5-1440x960.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/club-kiosk/clubkioskonkruid-5-1440x960.jpg	(from https://onkruid.studio/projects)
16:59:55	318068/318068	---M--	200	added ('OK')	image/jpeg	etag:%224da74-57bf4f588b4f6%22	https://onkruid.studio/thumbs/projects/club-kiosk/_mg_0598-1440x960.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/club-kiosk/_mg_0598-1440x960.jpg	(from https://onkruid.studio/projects)
16:59:55	874066/874066	---M--	200	added ('OK')	image/jpeg	etag:%22d5652-57bf4f58f7b65%22	https://onkruid.studio/thumbs/projects/club-kiosk/_mg_0598-2160x1440.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/club-kiosk/_mg_0598-2160x1440.jpg	(from https://onkruid.studio/projects)
16:59:55	404800/404800	---M--	200	added ('OK')	image/jpeg	etag:%2262d40-57bf4f5b468d6%22	https://onkruid.studio/thumbs/projects/club-kiosk/clubkioskonkruid-6-1440x960.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/club-kiosk/clubkioskonkruid-6-1440x960.jpg	(from https://onkruid.studio/projects)
16:59:56	813414/813414	---M--	200	added ('OK')	image/jpeg	etag:%22c6966-57bf4f5b8dd80%22	https://onkruid.studio/thumbs/projects/club-kiosk/clubkioskonkruid-6-2160x1440.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/club-kiosk/clubkioskonkruid-6-2160x1440.jpg	(from https://onkruid.studio/projects)
16:59:56	837276/837276	---M--	200	added ('OK')	image/jpeg	etag:%22cc69c-57bf4f6025aa1%22	https://onkruid.studio/thumbs/projects/club-kiosk/clubkioskonkruid-7-2160x1440.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/club-kiosk/clubkioskonkruid-7-2160x1440.jpg	(from https://onkruid.studio/projects)
16:59:56	405288/405288	---M--	200	added ('OK')	image/jpeg	etag:%2262f28-57bf4f5fcebf5%22	https://onkruid.studio/thumbs/projects/club-kiosk/clubkioskonkruid-7-1440x960.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/club-kiosk/clubkioskonkruid-7-1440x960.jpg	(from https://onkruid.studio/projects)
16:59:56	20130/20130	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Oct%202020%2020:59:56%20GMT	https://onkruid.studio/projects/creatives-shaping-cities-iii	E:/test-onkruid/onkruid.studio/projects/creatives-shaping-cities-iii.html	(from https://onkruid.studio/projects)
16:59:57	634387/634387	---M--	200	added ('OK')	image/jpeg	etag:%229ae13-57bf4f9002074%22	https://onkruid.studio/thumbs/projects/creatives-shaping-cities-iii/img_7333-2160x1440.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/creatives-shaping-cities-iii/img_7333-2160x1440.jpg	(from https://onkruid.studio/projects)
16:59:57	312561/312561	---M--	200	added ('OK')	image/jpeg	etag:%224c4f1-57bf4f8f91b84%22	https://onkruid.studio/thumbs/projects/creatives-shaping-cities-iii/img_7333-1440x960.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/creatives-shaping-cities-iii/img_7333-1440x960.jpg	(from https://onkruid.studio/projects)
16:59:57	578159/578159	---M--	200	added ('OK')	image/jpeg	etag:%228d26f-57bf4f8a695cf%22	https://onkruid.studio/thumbs/projects/creatives-shaping-cities-iii/img_7280-2160x1440.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/creatives-shaping-cities-iii/img_7280-2160x1440.jpg	(from https://onkruid.studio/projects)
16:59:57	194052/194052	---M--	200	added ('OK')	image/jpeg	etag:%222f604-57bf4f8a27ee6%22	https://onkruid.studio/thumbs/projects/creatives-shaping-cities-iii/img_7280-1440x960.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/creatives-shaping-cities-iii/img_7280-1440x960.jpg	(from https://onkruid.studio/projects)
16:59:58	972533/972533	---M--	200	added ('OK')	image/jpeg	etag:%22ed6f5-57bf4f8bac9db%22	https://onkruid.studio/thumbs/projects/creatives-shaping-cities-iii/img_7295-2160x1440.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/creatives-shaping-cities-iii/img_7295-2160x1440.jpg	(from https://onkruid.studio/projects)
16:59:58	501519/501519	---M--	200	added ('OK')	image/jpeg	etag:%227a70f-57bf4f8b3d48c%22	https://onkruid.studio/thumbs/projects/creatives-shaping-cities-iii/img_7295-1440x960.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/creatives-shaping-cities-iii/img_7295-1440x960.jpg	(from https://onkruid.studio/projects)
16:59:58	958173/958173	---M--	200	added ('OK')	image/jpeg	etag:%22e9edd-57bf4f8cecf07%22	https://onkruid.studio/thumbs/projects/creatives-shaping-cities-iii/img_7298-2160x1440.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/creatives-shaping-cities-iii/img_7298-2160x1440.jpg	(from https://onkruid.studio/projects)
16:59:58	474718/474718	---M--	200	added ('OK')	image/jpeg	etag:%2273e5e-57bf4f8c70e96%22	https://onkruid.studio/thumbs/projects/creatives-shaping-cities-iii/img_7298-1440x960.jpg	E:/test-onkruid/onkruid.studio/thumbs/projects/creatives-shaping-cities-iii/img_7298-1440x960.jpg	(from https://onkruid.studio/projects)
